ID,Gender,BAMajor,BAGPA,yrs_work,yrs_python,yrs_R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,GPA
20210262,M,Computer Science,3.92,0,4,2,82.52,68.08,74.24,66.18,64.22,83.27,84.58,73.25,86.71,72.49,82.58,68.18,74.40,43.80,41.24,69.34,71.54,53.66,75.19,52.55,3.86
20210263,F,Information Systems,3.29,4,2,2,80.32,90.01,89.40,94.75,98.53,79.92,85.01,84.79,78.77,10.46,80.52,90.12,89.41,89.78,97.08,63.87,72.27,71.89,62.05,1.09,3.58
20210264,M,Others,3.01,0,1,0,35.42,54.71,40.53,34.17,29.60,45.61,55.37,34.17,40.97,24.91,35.56,54.87,40.58,11.68,8.76,20.80,30.66,11.68,16.79,6.21,2.54
20210265,M,Electronic Engineering,2.78,3,3,0,64.20,73.74,52.32,87.55,74.97,77.37,73.25,86.92,73.74,48.71,64.30,73.78,52.43,76.65,56.21,59.86,53.66,75.55,54.38,23.73,3.16
20210266,F,Electronic Engineering,3.30,2,2,1,69.82,77.84,65.07,63.36,73.25,75.94,61.01,58.88,81.50,50.18,69.92,77.89,65.13,40.14,53.66,57.67,37.22,34.67,66.42,25.18,3.34
20210267,M,Information Systems,3.71,0,3,1,53.88,59.50,75.70,67.54,65.07,46.40,72.24,67.54,83.93,45.21,53.89,59.56,75.78,45.62,42.34,21.53,52.19,45.62,70.44,20.44,3.52
20210268,M,Computer Science,3.33,0,3,2,71.59,74.73,65.90,65.90,63.36,69.67,79.69,68.88,76.89,68.88,71.59,74.81,65.91,43.43,40.14,48.54,63.50,47.44,59.12,47.44,3.32
20210269,M,Computer Science,3.01,2,3,2,63.36,86.07,86.71,92.81,86.07,82.39,88.38,77.37,74.97,62.49,63.53,86.21,86.87,86.14,74.08,67.88,78.11,59.86,56.21,39.05,3.51
20210270,M,Business,3.45,1,1,1,73.08,50.18,69.41,56.35,72.24,70.71,58.26,79.69,61.31,43.98,73.26,50.37,69.47,31.75,52.19,50.00,33.94,63.50,37.59,19.34,3.24
20210271,F,Electronic Engineering,3.12,0,2,1,74.54,67.27,65.07,42.29,40.53,67.54,67.27,56.67,71.22,61.90,74.56,67.31,65.14,17.88,16.43,45.62,45.25,32.11,50.72,38.32,3.20
20210272,F,Liberal Arts,3.40,0,0,1,66.13,44.80,63.93,45.61,40.97,31.39,39.61,55.70,54.03,31.39,66.25,44.91,64.05,20.80,16.79,9.85,15.69,31.02,29.19,9.85,2.92
20210273,F,Computer Science,2.96,2,2,2,75.96,78.07,85.22,77.84,87.55,82.17,68.08,82.61,82.39,44.80,76.13,78.10,85.26,60.59,76.65,67.52,46.35,68.24,67.88,20.07,3.26
20210274,F,Information Systems,3.53,0,3,3,75.96,69.41,82.17,70.71,65.07,58.57,69.93,69.93,84.36,67.54,76.08,69.57,82.29,50.00,42.34,34.30,48.90,48.90,71.17,45.62,3.49
20210275,M,Computer Science,3.55,1,4,2,66.67,68.35,74.48,84.58,86.29,88.79,74.48,93.78,79.23,65.62,66.86,68.50,74.59,71.54,74.46,78.84,55.47,87.95,62.77,43.06,3.72
20210276,M,Business,3.28,0,1,0,44.80,58.57,49.45,50.90,63.07,46.80,56.99,69.41,78.77,48.71,44.83,58.59,49.51,25.91,39.78,21.90,32.48,48.18,62.05,23.73,3.10
20210277,M,Computer Science,3.32,0,3,0,33.75,44.12,59.93,53.34,69.99,66.83,74.55,82.00,80.80,50.53,34.05,44.00,59.75,28.24,49.28,44.60,55.53,67.15,65.42,25.78,3.10
20210278,F,Information Systems,3.61,3,4,1,72.34,65.62,83.27,94.37,74.97,88.17,85.01,95.14,79.92,42.72,72.50,65.76,83.38,89.06,56.21,77.74,72.27,90.52,63.87,18.25,3.71
20210279,F,Computer Science,3.22,2,3,1,71.59,64.22,55.04,83.49,91.02,78.30,73.25,80.60,71.22,40.53,71.75,64.31,55.09,69.71,82.85,61.31,53.66,64.96,50.72,16.43,3.41
20210280,M,Computer Science,3.39,0,1,2,62.50,55.37,77.84,71.48,68.62,63.36,51.97,45.61,53.70,60.11,62.68,55.55,77.86,51.09,47.09,40.14,27.01,20.80,28.84,36.13,3.20
20210281,M,Computer Science,3.55,1,4,2,66.67,68.35,74.48,84.58,86.29,88.79,74.48,93.78,79.23,65.62,66.83,68.48,74.65,71.54,74.46,78.84,55.47,87.95,62.77,43.06,3.72
20210282,M,Computer Science,3.32,0,3,0,33.87,43.98,59.81,53.35,70.19,66.73,74.48,81.95,80.83,50.54,33.87,44.03,59.93,28.46,49.27,44.53,55.47,67.16,65.33,25.54,3.19
20210283,F,Liberal Arts,3.01,1,2,2,79.87,73.49,75.21,79.92,71.22,79.46,70.71,73.25,88.58,53.01,79.98,73.65,75.29,63.87,50.72,63.14,50.00,53.66,78.46,28.10,3.18
20210284,F,Applied Math,3.10,2,1,1,76.20,58.26,68.62,65.90,80.60,64.78,71.74,56.35,69.93,38.21,76.34,58.42,68.78,43.43,64.96,41.96,51.47,31.75,48.90,14.60,3.06
20210285,M,Business,4,1,1,2,55.52,64.78,72.24,72.75,70.71,53.01,82.39,76.42,73.00,57.31,55.59,64.83,72.39,52.93,50.00,28.10,67.88,58.40,53.29,32.84,3.76
20210286,F,Computer Science,2.96,2,2,2,75.96,78.07,85.22,77.84,87.55,82.17,68.08,82.61,82.39,44.80,75.97,78.15,85.23,60.59,76.65,67.52,46.35,68.24,67.88,20.07,3.26
20210287,M,Computer Science,3.02,0,2,0,33.87,32.53,59.19,66.45,53.35,55.37,75.70,71.22,47.18,41.42,34.07,32.65,59.27,44.16,28.46,30.66,57.30,50.72,22.26,17.16,2.84
20210288,F,Computer Science,3.25,2,1,1,55.20,52.67,71.74,84.14,80.60,84.36,61.01,74.97,76.42,36.75,55.37,52.76,71.84,70.80,64.96,71.17,37.22,56.21,58.40,13.51,3.32
20210289,F,Others,2.95,0,2,0,46.76,63.07,36.25,50.18,57.95,64.50,73.99,75.45,71.48,30.21,46.90,63.21,36.28,25.18,33.58,41.60,54.75,56.93,51.09,9.13,2.82
20210290,F,Computer Science,3.25,2,1,1,55.20,52.67,71.74,84.14,80.60,84.36,61.01,74.97,76.42,36.75,55.22,52.83,71.80,70.80,64.96,71.17,37.22,56.21,58.40,13.51,3.32
20210291,M,Applied Math,2.63,1,1,3,91.58,83.27,84.14,72.24,65.35,73.00,61.61,52.67,65.62,42.29,91.65,83.33,84.28,52.19,42.71,53.29,37.96,27.74,43.06,17.88,2.97
20210292,F,Information Systems,3.23,0,3,2,72.34,63.65,76.18,55.04,61.01,50.90,69.41,72.24,68.35,47.57,72.47,63.74,76.25,30.29,37.22,25.91,48.18,52.19,46.72,22.63,3.10
20210293,M,Information Systems,3.30,1,2,2,84.45,74.48,84.14,62.78,64.22,75.94,71.22,67.81,69.41,44.39,84.58,74.53,84.31,39.41,41.24,57.67,50.72,45.98,48.18,19.70,3.49
20210294,F,Information Systems,3.19,1,2,2,66.13,67.81,65.07,60.11,64.78,55.37,69.93,65.35,82.17,58.26,66.15,67.93,65.19,36.13,41.96,30.66,48.90,42.71,67.52,33.94,3.14
20210295,M,Information Systems,3.91,1,4,2,81.21,83.49,75.70,79.23,76.65,76.89,87.34,87.55,80.83,42.29,81.30,83.52,75.79,62.77,58.75,59.12,76.28,76.65,65.33,17.88,3.72
20210296,M,Computer Science,3.29,2,4,1,82.09,64.78,78.07,83.49,75.70,79.00,75.21,84.36,77.84,54.37,82.11,64.83,78.26,69.71,57.30,62.41,56.57,71.17,60.59,29.56,3.35
20210297,M,Computer Science,3.60,1,2,1,57.74,59.50,60.41,66.18,81.50,64.50,62.49,74.73,56.02,48.71,57.85,59.60,60.50,43.80,66.42,41.60,39.05,55.85,31.38,23.73,3.30
20210298,M,Applied Math,3.13,2,0,2,85.72,86.71,80.37,78.77,78.54,55.04,42.29,50.90,66.45,18.12,85.85,86.89,80.51,62.05,61.69,30.29,17.88,25.91,44.16,3.28,3.13
20210299,F,Computer Science,3.59,3,2,0,57.74,66.45,47.57,86.50,91.42,77.84,79.69,63.36,73.25,43.98,57.88,66.62,47.62,74.82,83.58,60.59,63.50,40.14,53.66,19.34,3.37
20210300,F,Information Systems,3.01,2,3,2,86.14,84.79,76.42,71.22,69.93,75.45,91.42,87.13,86.71,42.29,86.24,84.81,76.46,50.72,48.90,56.93,83.58,75.92,75.19,17.88,3.42
20210301,M,Liberal Arts,2.98,3,2,1,66.13,62.78,69.93,75.94,91.62,87.55,72.75,87.96,77.13,8.54,66.31,62.81,70.09,57.67,83.94,76.65,52.93,77.37,59.49,0.73,3.08
20210302,M,Computer Science,3.18,1,3,0,65.31,68.62,40.53,76.65,75.94,75.70,68.88,85.44,63.93,50.54,65.42,68.69,40.57,58.75,57.67,57.30,47.44,73.00,40.87,25.54,3.13
20210303,F,Computer Science,3.12,1,4,2,72.59,70.19,74.97,71.99,70.19,92.41,90.62,84.79,74.73,69.67,72.71,70.27,75.01,51.83,49.27,85.40,82.12,71.89,55.85,48.54,3.45
20210304,M,Electronic Engineering,3.22,2,2,0,65.31,44.80,55.04,81.72,65.90,63.36,73.74,69.41,67.00,27.02,65.50,44.92,55.23,66.78,43.43,40.14,54.38,48.18,44.89,7.30,3.02
20210305,M,Business,3.54,2,1,1,71.84,76.18,66.18,73.99,61.31,65.62,71.48,71.48,72.49,31.39,72.02,76.32,66.18,54.75,37.59,43.06,51.09,51.09,52.55,9.85,3.47
20210306,M,Others,3.32,3,2,1,53.55,64.22,72.49,74.97,67.81,73.49,76.18,80.15,64.78,30.80,53.60,64.34,72.58,56.21,45.98,54.01,58.03,64.24,41.96,9.49,3.21
20210307,M,Computer Science,3.01,2,3,2,63.36,86.07,86.71,92.81,86.07,82.39,88.38,77.37,74.97,62.49,63.40,86.16,86.89,86.14,74.08,67.88,78.11,59.86,56.21,39.05,3.51
20210308,M,Others,3.01,3,2,1,73.81,68.08,61.31,69.41,73.99,83.71,77.84,65.62,67.27,44.80,73.90,68.13,61.32,48.18,54.75,70.07,60.59,43.06,45.25,20.07,3.31
20210309,M,Computer Science,3.29,2,4,1,82.09,64.78,78.07,83.49,75.70,79.00,75.21,84.36,77.84,54.37,82.14,64.86,78.16,69.71,57.30,62.41,56.57,71.17,60.59,29.56,3.35
20210310,F,Computer Science,2.96,2,2,2,75.96,78.07,85.22,77.84,87.55,82.17,68.08,82.61,82.39,44.80,76.12,78.09,85.37,60.59,76.65,67.52,46.35,68.24,67.88,20.07,3.26
20210311,M,Others,3.13,1,2,1,71.09,73.49,68.08,54.03,71.74,71.74,66.18,59.50,62.49,56.67,71.10,73.50,68.20,29.19,51.47,51.47,43.80,35.40,39.05,32.11,3.24
20210312,F,Electronic Engineering,3.50,3,3,1,83.39,78.54,63.65,90.62,72.49,84.79,83.93,78.30,71.22,0.00,83.41,78.66,63.72,82.12,52.55,71.89,70.44,61.31,50.72,0.00,3.41
20210313,F,Information Systems,3.93,1,1,3,85.09,84.14,83.71,67.27,55.70,72.24,58.57,78.54,56.67,61.90,85.26,84.20,83.78,45.25,31.02,52.19,34.30,61.69,32.11,38.32,3.62
20210314,F,Computer Science,3.43,2,1,1,68.00,63.36,74.73,71.99,88.79,84.36,60.71,70.19,60.71,30.21,68.05,63.40,74.87,51.83,78.84,71.17,36.86,49.27,36.86,9.13,3.26
20210315,F,Applied Math,3.21,1,0,3,81.87,75.70,88.38,50.90,56.35,64.22,53.01,49.08,49.08,32.53,81.90,75.74,88.40,25.91,31.75,41.24,28.10,24.09,24.09,10.58,3.22
20210316,F,Applied Math,3.06,3,2,1,85.51,81.05,83.93,68.08,86.92,79.92,79.00,67.00,61.31,0.00,85.65,81.08,84.00,46.35,75.55,63.87,62.41,44.89,37.59,0.00,3.33
20210317,M,Computer Science,2.97,1,4,1,71.09,71.22,64.22,74.73,74.97,72.24,79.00,79.46,78.77,35.23,71.15,71.39,64.42,55.85,56.21,52.19,62.41,63.14,62.05,12.41,3.12
20210318,F,Others,3.47,0,1,1,42.33,54.03,56.67,57.31,50.18,61.61,47.95,61.90,39.61,63.65,42.42,54.21,56.86,32.84,25.18,37.96,22.99,38.32,15.69,40.51,2.99
20210319,F,Electronic Engineering,3.27,1,3,1,78.29,80.15,67.81,74.48,65.62,73.99,67.00,82.17,69.41,63.93,78.38,80.20,67.96,55.47,43.06,54.75,44.89,67.52,48.18,40.87,3.37
20210320,M,Applied Math,3.04,0,1,3,74.78,77.84,85.01,56.99,50.90,69.93,53.01,67.27,48.33,68.08,74.93,78.02,85.09,32.48,25.91,48.90,28.10,45.25,23.36,46.35,3.14
20210321,M,Others,3.45,0,0,1,58.04,45.61,58.88,47.18,51.97,50.18,50.90,45.21,58.88,60.71,58.12,45.67,58.91,22.26,27.01,25.18,25.91,20.44,34.67,36.86,2.96
20210322,F,Applied Math,3.37,2,1,3,95.79,91.82,91.62,64.78,84.14,61.01,78.77,70.45,61.61,42.29,95.83,91.87,91.65,41.96,70.80,37.22,62.05,49.63,37.96,17.88,3.38
20210323,M,Liberal Arts,3.46,2,1,2,63.92,76.65,79.92,81.05,67.54,67.54,80.60,81.05,68.08,28.97,64.09,76.67,79.96,65.69,45.62,45.62,64.96,65.69,46.35,8.39,3.32
20210324,F,Electronic Engineering,4,3,3,2,77.37,75.94,78.77,84.58,91.62,74.24,71.74,90.82,80.15,50.18,77.38,76.12,78.95,71.54,83.94,55.12,51.47,82.48,64.24,25.18,3.94
20210325,M,Information Systems,3.18,0,3,2,74.29,69.41,67.00,51.26,49.45,76.18,66.18,70.71,65.90,58.57,74.48,69.54,67.11,26.28,24.45,58.03,43.80,50.00,43.43,34.30,3.14
20210326,M,Applied Math,3.46,4,1,2,91.39,80.37,86.50,76.42,78.30,79.69,67.27,82.61,78.07,0.00,91.55,80.52,86.69,58.40,61.31,63.50,45.25,68.24,60.95,0.00,3.48
20210327,F,Computer Science,3.25,2,1,1,55.20,52.67,71.74,84.14,80.60,84.36,61.01,74.97,76.42,36.75,55.39,52.84,71.84,70.80,64.96,71.17,37.22,56.21,58.40,13.51,3.32
20210328,M,Computer Science,3.22,4,1,1,74.29,74.73,65.07,91.62,90.82,101.27,70.71,76.89,78.07,35.23,74.42,74.89,65.12,83.94,82.48,102.56,50.00,59.12,60.95,12.41,3.48
20210329,F,Applied Math,3.65,2,0,3,76.90,83.27,86.07,82.39,60.41,66.73,67.81,48.71,73.49,40.97,77.08,83.36,86.23,67.88,36.49,44.53,45.98,23.73,54.01,16.79,3.64
20210330,M,Information Systems,3.15,1,2,2,61.35,67.54,64.50,73.49,72.75,79.00,83.05,66.18,64.22,30.21,61.55,67.56,64.58,54.01,52.93,62.41,68.97,43.80,41.24,9.13,3.20
20210331,M,Business,3.17,2,1,2,71.09,70.97,77.13,72.24,78.30,72.49,83.93,69.67,69.41,46.40,71.19,71.15,77.19,52.19,61.31,52.55,70.44,48.54,48.18,21.53,3.45
20210332,M,Computer Science,3.55,1,4,2,66.67,68.35,74.48,84.58,86.29,88.79,74.48,93.78,79.23,65.62,66.72,68.50,74.58,71.54,74.46,78.84,55.47,87.95,62.77,43.06,3.72
20210333,M,Applied Math,3.17,4,0,2,85.30,88.38,87.96,90.42,74.48,77.13,67.54,73.49,69.14,33.09,85.37,88.46,88.01,81.76,55.47,59.49,45.62,54.01,47.80,10.95,3.44
20210334,M,Liberal Arts,3.01,0,1,0,44.40,47.18,34.70,57.63,63.93,60.71,58.26,76.42,64.78,42.29,44.50,47.33,34.81,33.21,40.87,36.86,33.94,58.40,41.96,17.88,2.91
20210335,M,Information Systems,3.45,3,2,1,58.35,80.60,64.22,90.82,83.71,86.07,70.71,78.77,67.54,0.00,58.40,80.76,64.40,82.48,70.07,74.08,50.00,62.05,45.62,0.00,3.44
20210336,M,Computer Science,3.41,0,2,0,39.71,61.90,46.80,60.41,68.35,68.35,49.08,68.62,61.90,56.35,39.91,62.00,46.96,36.49,46.72,46.72,24.09,47.09,38.32,31.75,3.17
20210337,M,Applied Math,3.28,1,0,2,71.09,82.17,72.49,72.49,54.71,56.35,58.88,58.57,59.50,49.45,71.15,82.30,72.63,52.55,29.93,31.75,34.67,34.30,35.40,24.45,3.25
20210338,F,Information Systems,3.64,3,3,2,85.30,90.01,89.20,92.61,84.79,80.60,92.61,81.72,90.01,36.75,85.33,90.08,89.31,85.77,71.89,64.96,85.77,66.78,81.02,13.51,3.89
20210339,M,Computer Science,3.01,2,3,2,63.36,86.07,86.71,92.81,86.07,82.39,88.38,77.37,74.97,62.49,63.40,86.14,86.78,86.14,74.08,67.88,78.11,59.86,56.21,39.05,3.51
20210340,M,Business,3.19,1,0,1,56.16,63.07,71.22,51.62,45.21,39.15,47.18,65.35,56.35,54.03,56.22,63.18,71.31,26.65,20.44,15.33,22.26,42.71,31.75,29.19,3.08
20210341,M,Applied Math,3.04,0,1,3,74.78,77.84,85.01,56.99,50.90,69.93,53.01,67.27,48.33,68.08,74.94,77.94,85.04,32.48,25.91,48.90,28.10,45.25,23.36,46.35,3.14
20210342,F,Computer Science,4,3,3,2,75.96,79.46,86.92,82.61,91.02,85.22,74.48,89.40,78.77,44.39,76.01,79.56,86.97,68.24,82.85,72.62,55.47,79.92,62.05,19.70,4.06
20210343,F,Electronic Engineering,3.34,0,1,1,62.22,49.08,52.32,55.37,34.17,63.36,47.95,41.85,55.04,32.53,62.32,49.18,52.40,30.66,11.68,40.14,22.99,17.51,30.29,10.58,2.82
20210344,M,Electronic Engineering,3.27,0,2,1,67.47,70.45,71.48,50.54,42.72,43.98,62.20,56.02,67.81,68.62,67.59,70.47,71.57,25.54,18.25,19.34,38.69,31.38,45.98,47.09,3.22
20210345,M,Applied Math,3.44,3,0,2,77.14,83.05,68.08,84.36,68.88,69.14,64.78,63.36,57.63,29.60,77.19,83.09,68.25,71.17,47.44,47.80,41.96,40.14,33.21,8.76,3.25
20210346,F,Information Systems,3.37,0,2,3,82.52,77.13,80.83,67.27,47.57,47.57,65.90,65.35,83.05,61.31,82.54,77.32,80.84,45.25,22.63,22.63,43.43,42.71,68.97,37.59,3.48
20210347,F,Computer Science,3.25,2,1,1,55.20,52.67,71.74,84.14,80.60,84.36,61.01,74.97,76.42,36.75,55.21,52.76,71.89,70.80,64.96,71.17,37.22,56.21,58.40,13.51,3.32
20210348,M,Applied Math,3.25,4,0,3,94.09,95.33,82.61,89.61,94.95,88.17,70.19,59.81,65.35,14.80,94.20,95.35,82.81,80.30,90.16,77.74,49.27,35.77,42.71,2.19,3.41
20210349,F,Information Systems,3.19,1,2,2,66.13,67.81,65.07,60.11,64.78,55.37,69.93,65.35,82.17,58.26,66.29,67.97,65.23,36.13,41.96,30.66,48.90,42.71,67.52,33.94,3.14
20210350,M,Applied Math,3.13,3,1,3,91.19,94.95,89.81,78.77,69.93,88.17,70.45,74.24,75.45,44.80,91.24,95.05,89.96,62.05,48.90,77.74,49.63,55.12,56.93,20.07,3.40
20210351,F,Business,3.76,3,1,0,60.46,52.32,63.93,79.92,80.15,63.07,71.74,67.54,85.01,0.00,60.54,52.48,63.94,63.87,64.24,39.78,51.47,45.62,72.27,0.00,3.39
20210352,F,Applied Math,3.53,0,0,2,73.57,79.23,73.99,38.68,47.57,33.09,65.35,35.74,28.34,57.31,73.62,79.25,74.13,14.96,22.63,10.95,42.71,12.77,8.03,32.84,3.12
20210353,F,Information Systems,3.93,1,1,3,85.09,84.14,83.71,67.27,55.70,72.24,58.57,78.54,56.67,61.90,85.11,84.17,83.77,45.25,31.02,52.19,34.30,61.69,32.11,38.32,3.62
20210354,F,Applied Math,3.45,3,2,2,89.80,92.81,78.30,69.67,88.58,77.37,80.60,80.15,72.24,24.16,89.87,92.87,78.38,48.54,78.46,59.86,64.96,64.24,52.19,5.84,3.60
20210355,F,Applied Math,3.24,0,0,3,75.73,75.70,68.35,51.62,47.18,35.23,44.80,46.40,59.19,46.01,75.77,75.79,68.49,26.65,22.26,12.41,20.07,21.53,35.03,21.17,3.01
20210356,M,Liberal Arts,3.18,3,2,1,66.13,70.19,73.00,83.27,79.46,84.14,84.14,81.95,93.00,0.00,66.19,70.22,73.14,69.34,63.14,70.80,70.80,67.16,86.49,0.00,3.23
20210357,F,Information Systems,3.33,1,2,1,53.88,56.02,66.45,55.04,53.35,77.13,59.50,79.00,78.54,47.95,53.94,56.03,66.58,30.29,28.46,59.49,35.40,62.41,61.69,22.99,3.34
20210358,F,Business,3.99,3,1,2,68.26,68.08,84.36,71.22,75.70,76.18,86.71,79.23,70.19,34.70,68.29,68.10,84.47,50.72,57.30,58.03,75.19,62.77,49.27,12.04,3.65
20210359,M,Computer Science,3.22,2,3,2,71.84,73.99,65.62,93.20,86.07,82.61,81.50,85.65,91.02,35.23,72.01,74.08,65.62,86.86,74.08,68.24,66.42,73.36,82.85,12.41,3.50
20210360,F,Information Systems,3.22,2,1,3,77.14,87.55,86.50,77.13,87.55,71.74,70.19,64.78,73.74,60.41,77.24,87.58,86.56,59.49,76.65,51.47,49.27,41.96,54.38,36.49,3.47
20210361,F,Information Systems,3.53,0,3,3,75.96,69.41,82.17,70.71,65.07,58.57,69.93,69.93,84.36,67.54,76.08,69.53,82.32,50.00,42.34,34.30,48.90,48.90,71.17,45.62,3.49
20210362,F,Information Systems,3.33,2,1,2,66.67,68.62,83.93,60.41,78.77,66.18,62.78,64.50,62.78,44.80,66.85,68.71,84.07,36.49,62.05,43.80,39.41,41.60,39.41,20.07,3.34
20210363,F,Information Systems,3.23,0,3,2,72.34,63.65,76.18,55.04,61.01,50.90,69.41,72.24,68.35,47.57,72.47,63.75,76.22,30.29,37.22,25.91,48.18,52.19,46.72,22.63,3.10
20210364,F,Information Systems,3.53,0,3,3,75.96,69.41,82.17,70.71,65.07,58.57,69.93,69.93,84.36,67.54,76.01,69.45,82.32,50.00,42.34,34.30,48.90,48.90,71.17,45.62,3.49
20210365,M,Computer Science,3.60,1,2,1,57.74,59.50,60.41,66.18,81.50,64.50,62.49,74.73,56.02,48.71,57.75,59.51,60.57,43.80,66.42,41.60,39.05,55.85,31.38,23.73,3.30
20210366,F,Computer Science,3.43,4,3,1,67.47,83.71,73.99,89.61,86.50,97.22,78.07,89.40,73.49,0.00,67.59,83.85,74.11,80.30,74.82,94.52,60.95,79.92,54.01,0.00,3.63
20210367,M,Applied Math,3.10,0,1,1,67.38,83.79,73.94,89.63,86.57,97.30,78.06,89.29,73.45,-0.11,67.56,83.89,74.13,80.33,74.84,94.48,60.90,80.04,54.01,-0.02,3.66
20210368,M,Business,3.04,0,1,0,41.04,45.21,37.73,41.85,35.74,31.39,72.75,63.93,69.41,43.56,41.13,45.29,37.92,17.51,12.77,9.85,52.93,40.87,48.18,18.97,2.87
20210369,F,Applied Math,3.01,1,1,2,73.08,77.84,76.42,72.75,56.67,75.94,57.95,68.88,59.50,33.09,73.22,77.89,76.57,52.93,32.11,57.67,33.58,47.44,35.40,10.95,3.17
20210370,F,Information Systems,3.12,2,1,2,69.30,71.22,80.60,75.21,79.23,61.01,78.54,54.03,76.18,25.63,69.33,71.33,80.64,56.57,62.77,37.22,61.69,29.19,58.03,6.57,3.24
20210371,F,Electronic Engineering,3.10,2,1,0,69.56,66.73,58.88,60.41,59.50,75.70,67.00,50.90,46.40,27.02,69.64,66.75,59.02,36.49,35.40,57.30,44.89,25.91,21.53,7.30,3.14
20210372,F,Electronic Engineering,3.14,3,2,1,65.03,76.18,78.30,80.15,72.49,89.40,73.00,75.21,73.49,0.00,65.17,76.36,78.44,64.24,52.55,79.92,53.29,56.57,54.01,0.00,3.31
20210373,F,Information Systems,3.64,3,3,2,85.30,90.01,89.20,92.61,84.79,80.60,92.61,81.72,90.01,36.75,85.39,90.12,89.36,85.77,71.89,64.96,85.77,66.78,81.02,13.51,3.89
20210374,F,Computer Science,3.99,4,1,1,75.73,78.54,70.45,94.37,100.91,88.38,78.30,72.49,54.71,0.00,75.82,78.73,70.52,89.06,101.83,78.11,61.31,52.55,29.93,0.00,3.74
20210375,F,Others,3.69,2,0,2,78.52,73.00,65.35,77.60,77.60,68.88,61.01,65.07,66.73,34.70,78.61,73.04,65.54,60.22,60.22,47.44,37.22,42.34,44.53,12.04,3.43
20210376,M,Applied Math,3.28,1,0,2,71.09,82.17,72.49,72.49,54.71,56.35,58.88,58.57,59.50,49.45,71.20,82.17,72.65,52.55,29.93,31.75,34.67,34.30,35.40,24.45,3.25
20210377,M,Business,2.96,3,1,1,77.37,63.07,61.61,85.65,78.54,72.49,73.00,80.83,72.75,0.00,77.53,63.19,61.69,73.36,61.69,52.55,53.29,65.33,52.93,0.00,3.04
20210378,M,Electronic Engineering,3.27,0,2,2,79.87,61.90,77.37,63.36,73.99,56.99,79.23,58.26,58.57,50.90,79.97,62.07,77.52,40.14,54.75,32.48,62.77,33.94,34.30,25.91,3.26
20210379,M,Information Systems,3.90,2,2,2,80.99,71.22,71.22,84.79,66.45,71.48,84.36,67.81,62.78,20.93,81.06,71.37,71.26,71.89,44.16,51.09,71.17,45.98,39.41,4.38,3.57
20210380,F,Information Systems,4,2,2,2,65.86,84.36,84.14,76.65,79.46,78.07,84.14,81.05,74.48,40.97,66.04,84.42,84.15,58.75,63.14,60.95,70.80,65.69,55.47,16.79,3.73
20210381,F,Computer Science,3.94,2,2,2,78.52,65.07,62.49,72.49,75.70,83.71,76.42,69.67,83.05,49.82,78.68,65.07,62.56,52.55,57.30,70.07,58.40,48.54,68.97,24.82,3.80
20210382,F,Applied Math,3.41,0,2,4,82.74,89.40,96.47,65.35,55.37,56.02,75.45,76.65,81.05,74.73,82.92,89.48,96.52,42.71,30.66,31.38,56.93,58.75,65.69,55.85,3.62
20210383,F,Computer Science,3.13,0,2,0,35.92,38.68,51.62,65.62,47.57,60.41,47.57,50.90,51.97,56.67,36.03,38.79,51.81,43.06,22.63,36.49,22.63,25.91,27.01,32.11,2.77
20210384,M,Computer Science,3.19,3,2,0,53.55,50.18,70.97,90.62,83.93,90.01,77.60,63.93,68.35,0.00,53.67,50.25,71.01,82.12,70.44,81.02,60.22,40.87,46.72,0.00,3.17
20210385,F,Electronic Engineering,3.19,4,1,1,81.87,67.81,70.71,78.07,86.92,83.93,55.37,66.45,58.57,0.00,82.04,67.83,70.78,60.95,75.55,70.44,30.66,44.16,34.30,0.00,3.07
20210386,F,Computer Science,3.25,2,1,1,55.20,52.67,71.74,84.14,80.60,84.36,61.01,74.97,76.42,36.75,55.27,52.76,71.92,70.80,64.96,71.17,37.22,56.21,58.40,13.51,3.32
20210387,F,Liberal Arts,4,1,1,2,69.82,76.42,68.08,71.22,53.35,70.19,75.45,75.94,80.15,37.24,69.84,76.56,68.10,50.72,28.46,49.27,56.93,57.67,64.24,13.87,3.78
20210388,M,Computer Science,3.46,3,3,1,75.49,71.74,79.23,96.66,81.72,84.58,74.48,84.14,82.17,42.29,75.63,71.75,79.23,93.43,66.78,71.54,55.47,70.80,67.52,17.88,3.73
20210389,M,Others,3.12,0,1,1,69.56,57.95,46.80,57.31,34.17,50.90,61.90,49.45,50.18,40.53,69.60,58.12,46.90,32.84,11.68,25.91,38.32,24.45,25.18,16.43,2.78
20210390,M,Electronic Engineering,3.22,2,2,0,65.31,44.80,55.04,81.72,65.90,63.36,73.74,69.41,67.00,27.02,65.34,44.87,55.15,66.78,43.43,40.14,54.38,48.18,44.89,7.30,3.02
20210391,M,Computer Science,3.32,0,3,0,33.87,43.98,59.81,53.35,70.19,66.73,74.48,81.95,80.83,50.54,34.04,44.16,59.95,28.46,49.27,44.53,55.47,67.16,65.33,25.54,3.19
20210392,F,Applied Math,3.65,2,0,3,76.90,83.27,86.07,82.39,60.41,66.73,67.81,48.71,73.49,40.97,77.03,83.46,86.09,67.88,36.49,44.53,45.98,23.73,54.01,16.79,3.64
